script,pieces,percentOfWords
latin,1,5.889
latin,2,10.514
latin,3,15.614
latin,4,18.592
latin,5,15.185
latin,6,13.312
latin,7,8.461
latin,8,5.641
latin,9,3.633
latin,10,1.579
latin,11,0.699
latin,12,0.632
latin,13,0.113
latin,14,0.045
latin,15,0.068
english,1,69.703
english,2,19.554
english,3,7.138
english,4,2.361
english,5,0.688
english,6,0.335
english,7,0.149
english,8,0.037
english,9,0.037
english,10,0.0
english,11,0.0
english,12,0.0
english,13,0.0
english,14,0.0
english,15,0.0
