epoch,metric,direction,value,evalSet
1.0,eval_chrf,dv-en,21.9802,valid-full
2.0,eval_chrf,dv-en,27.7192,valid-full
3.0,eval_chrf,dv-en,29.9388,valid-full
3.03313,eval_chrf,dv-en,30.0058,valid-small
3.06646,eval_chrf,dv-en,30.2325,valid-small
3.09979,eval_chrf,dv-en,29.7281,valid-small
3.13312,eval_chrf,dv-en,30.0848,valid-small
3.16646,eval_chrf,dv-en,30.3103,valid-small
3.19979,eval_chrf,dv-en,30.4054,valid-small
3.23312,eval_chrf,dv-en,30.2001,valid-small
3.26645,eval_chrf,dv-en,30.3353,valid-small
3.29978,eval_chrf,dv-en,30.3779,valid-small
3.33311,eval_chrf,dv-en,30.5105,valid-small
3.36644,eval_chrf,dv-en,30.3416,valid-small
3.39977,eval_chrf,dv-en,30.4425,valid-small
3.4331,eval_chrf,dv-en,30.483,valid-small
3.46644,eval_chrf,dv-en,30.3496,valid-small
3.49977,eval_chrf,dv-en,30.6443,valid-small
3.5331,eval_chrf,dv-en,30.3785,valid-small
3.56643,eval_chrf,dv-en,30.6191,valid-small
3.59976,eval_chrf,dv-en,30.5745,valid-small
3.63309,eval_chrf,dv-en,30.5468,valid-small
3.66642,eval_chrf,dv-en,30.5463,valid-small
3.69975,eval_chrf,dv-en,30.6227,valid-small
3.73308,eval_chrf,dv-en,30.6377,valid-small
3.76642,eval_chrf,dv-en,30.6779,valid-small
3.79975,eval_chrf,dv-en,30.7542,valid-small
3.83308,eval_chrf,dv-en,30.7352,valid-small
3.86641,eval_chrf,dv-en,30.7777,valid-small
3.89974,eval_chrf,dv-en,30.6783,valid-small
3.93307,eval_chrf,dv-en,30.859,valid-small
3.9664,eval_chrf,dv-en,30.7298,valid-small
3.99973,eval_chrf,dv-en,30.751,valid-small
1.0,eval_chrf,en-dv,24.7156,valid-full
2.0,eval_chrf,en-dv,32.6854,valid-full
3.0,eval_chrf,en-dv,35.7766,valid-full
3.03313,eval_chrf,en-dv,36.0615,valid-small
3.06646,eval_chrf,en-dv,35.9596,valid-small
3.09979,eval_chrf,en-dv,35.9025,valid-small
3.13312,eval_chrf,en-dv,36.2734,valid-small
3.16646,eval_chrf,en-dv,36.081,valid-small
3.19979,eval_chrf,en-dv,36.0497,valid-small
3.23312,eval_chrf,en-dv,36.3762,valid-small
3.26645,eval_chrf,en-dv,36.3759,valid-small
3.29978,eval_chrf,en-dv,36.3668,valid-small
3.33311,eval_chrf,en-dv,36.4814,valid-small
3.36644,eval_chrf,en-dv,36.4084,valid-small
3.39977,eval_chrf,en-dv,36.4718,valid-small
3.4331,eval_chrf,en-dv,36.4559,valid-small
3.46644,eval_chrf,en-dv,36.6583,valid-small
3.49977,eval_chrf,en-dv,36.6584,valid-small
3.5331,eval_chrf,en-dv,36.4422,valid-small
3.56643,eval_chrf,en-dv,36.4899,valid-small
3.59976,eval_chrf,en-dv,36.7878,valid-small
3.63309,eval_chrf,en-dv,36.8651,valid-small
3.66642,eval_chrf,en-dv,36.7268,valid-small
3.69975,eval_chrf,en-dv,36.8245,valid-small
3.73308,eval_chrf,en-dv,36.9166,valid-small
3.76642,eval_chrf,en-dv,36.8828,valid-small
3.79975,eval_chrf,en-dv,36.8537,valid-small
3.83308,eval_chrf,en-dv,36.8578,valid-small
3.86641,eval_chrf,en-dv,37.0244,valid-small
3.89974,eval_chrf,en-dv,36.9258,valid-small
3.93307,eval_chrf,en-dv,36.9536,valid-small
3.9664,eval_chrf,en-dv,36.9842,valid-small
3.99973,eval_chrf,en-dv,36.9427,valid-small
1.0,eval_bleu,dv-en,3.9483,valid-full
2.0,eval_bleu,dv-en,6.2369,valid-full
3.0,eval_bleu,dv-en,7.8236,valid-full
3.03313,eval_bleu,dv-en,8.3242,valid-small
3.06646,eval_bleu,dv-en,8.3858,valid-small
3.09979,eval_bleu,dv-en,7.8801,valid-small
3.13312,eval_bleu,dv-en,8.0289,valid-small
3.16646,eval_bleu,dv-en,8.3375,valid-small
3.19979,eval_bleu,dv-en,8.1671,valid-small
3.23312,eval_bleu,dv-en,8.02,valid-small
