epoch,series,value
3.01,loss,1.7492
3.01,loss,1.7352
3.02,loss,1.7453
3.03,loss,1.7233
3.03,loss,1.7311
3.04,loss,1.7228
3.05,loss,1.7536
3.05,loss,1.7421
3.06,loss,1.7584
3.07,loss,1.7424
3.07,loss,1.7382
3.08,loss,1.7374
3.09,loss,1.7458
3.09,loss,1.7359
3.1,loss,1.7365
3.11,loss,1.751
3.11,loss,1.7446
3.12,loss,1.7302
3.13,loss,1.7267
3.13,loss,1.7477
3.14,loss,1.7261
3.15,loss,1.7534
3.15,loss,1.7327
3.16,loss,1.7258
3.17,loss,1.7344
3.17,loss,1.7331
3.18,loss,1.7431
3.19,loss,1.7388
3.19,loss,1.7429
3.2,loss,1.7168
3.21,loss,1.7088
3.21,loss,1.7182
3.22,loss,1.7316
3.23,loss,1.7389
3.23,loss,1.7134
3.24,loss,1.7184
3.25,loss,1.7414
3.25,loss,1.7497
3.26,loss,1.7329
3.27,loss,1.7381
3.27,loss,1.7438
3.28,loss,1.7239
3.29,loss,1.7259
3.29,loss,1.7141
3.3,loss,1.7327
3.31,loss,1.7469
3.31,loss,1.725
3.32,loss,1.7457
3.33,loss,1.7324
3.33,loss,1.7259
3.34,loss,1.714
3.35,loss,1.7062
3.35,loss,1.716
3.36,loss,1.7214
3.37,loss,1.7175
3.37,loss,1.7224
3.38,loss,1.7149
3.39,loss,1.7151
3.39,loss,1.7425
3.4,loss,1.7345
3.41,loss,1.7345
3.41,loss,1.7101
3.42,loss,1.7487
3.43,loss,1.7361
3.43,loss,1.7288
3.44,loss,1.7163
3.45,loss,1.7202
3.45,loss,1.7147
3.46,loss,1.7262
3.47,loss,1.7334
3.47,loss,1.7379
3.48,loss,1.749
3.49,loss,1.7166
3.49,loss,1.7186
3.5,loss,1.7213
3.51,loss,1.7466
3.51,loss,1.7219
3.52,loss,1.7097
3.53,loss,1.726
3.53,loss,1.7518
3.54,loss,1.7214
3.55,loss,1.7131
3.55,loss,1.7268
3.56,loss,1.7317
3.57,loss,1.7299
3.57,loss,1.7096
3.58,loss,1.6745
3.59,loss,1.7433
3.59,loss,1.7253
3.6,loss,1.7154
3.61,loss,1.7297
3.61,loss,1.7038
3.62,loss,1.7038
3.63,loss,1.6952
3.63,loss,1.7285
3.64,loss,1.7334
3.65,loss,1.7236
3.65,loss,1.706
3.66,loss,1.7326
3.67,loss,1.7028
3.67,loss,1.7115
3.68,loss,1.7208
3.69,loss,1.7042
3.69,loss,1.711
3.7,loss,1.7134
3.71,loss,1.7298
3.71,loss,1.7094
3.72,loss,1.7291
3.73,loss,1.6999
3.73,loss,1.7177
3.74,loss,1.7025
3.75,loss,1.6971
3.75,loss,1.7177
3.76,loss,1.7233
3.77,loss,1.6973
3.77,loss,1.7102
3.78,loss,1.7162
3.79,loss,1.7377
3.79,loss,1.7058
3.8,loss,1.7429
3.81,loss,1.7157
3.81,loss,1.682
3.82,loss,1.7277
3.83,loss,1.688
3.83,loss,1.7147
3.84,loss,1.733
3.85,loss,1.7007
3.85,loss,1.7155
3.86,loss,1.7205
3.87,loss,1.6969
3.87,loss,1.7213
3.88,loss,1.704
3.89,loss,1.7071
3.89,loss,1.7159
3.9,loss,1.7044
3.91,loss,1.7152
3.91,loss,1.6852
3.92,loss,1.7268
3.93,loss,1.7208
3.93,loss,1.6834
3.94,loss,1.7205
3.95,loss,1.7135
3.95,loss,1.7256
3.96,loss,1.6942
3.97,loss,1.6899
3.97,loss,1.7017
3.98,loss,1.6991
3.99,loss,1.7183
3.99,loss,1.7133
4.0,loss,1.6834
3.01,learning_rate,2.4840010665955606e-05
3.01,learning_rate,2.467335510965936e-05
3.02,learning_rate,2.4506699553363112e-05
3.03,learning_rate,2.4340043997066865e-05
3.03,learning_rate,2.4173388440770618e-05
3.04,learning_rate,2.400673288447437e-05
3.05,learning_rate,2.3840077328178124e-05
3.05,learning_rate,2.3673421771881877e-05
3.06,learning_rate,2.350676621558563e-05
3.07,learning_rate,2.3340110659289383e-05
3.07,learning_rate,2.3173455102993136e-05
3.08,learning_rate,2.300679954669689e-05
3.09,learning_rate,2.2840143990400642e-05
3.09,learning_rate,2.2673488434104395e-05
3.1,learning_rate,2.2506832877808148e-05
3.11,learning_rate,2.23401773215119e-05
3.11,learning_rate,2.2173521765215654e-05
3.12,learning_rate,2.2006866208919407e-05
3.13,learning_rate,2.1840210652623157e-05
3.13,learning_rate,2.167355509632691e-05
3.14,learning_rate,2.1506899540030663e-05
3.15,learning_rate,2.1340243983734416e-05
3.15,learning_rate,2.1173588427438172e-05
3.16,learning_rate,2.1006932871141925e-05
3.17,learning_rate,2.084027731484568e-05
3.17,learning_rate,2.067362175854943e-05
3.18,learning_rate,2.0506966202253184e-05
3.19,learning_rate,2.0340310645956937e-05
3.19,learning_rate,2.017365508966069e-05
3.2,learning_rate,2.0006999533364443e-05
3.21,learning_rate,1.9840343977068197e-05
3.21,learning_rate,1.967368842077195e-05
3.22,learning_rate,1.9507032864475703e-05
3.23,learning_rate,1.9340377308179456e-05
3.23,learning_rate,1.917372175188321e-05
3.24,learning_rate,1.900706619558696e-05
3.25,learning_rate,1.8840410639290715e-05
3.25,learning_rate,1.8673755082994468e-05
3.26,learning_rate,1.850709952669822e-05
3.27,learning_rate,1.8340443970401974e-05
3.27,learning_rate,1.8173788414105727e-05
3.28,learning_rate,1.800713285780948e-05
3.29,learning_rate,1.7840477301513233e-05
3.29,learning_rate,1.7673821745216986e-05
3.3,learning_rate,1.750716618892074e-05
3.31,learning_rate,1.7340510632624492e-05
3.31,learning_rate,1.7173855076328245e-05
3.32,learning_rate,1.7007199520031998e-05
3.33,learning_rate,1.6840543963735754e-05
3.33,learning_rate,1.6673888407439507e-05
3.34,learning_rate,1.650723285114326e-05
3.35,learning_rate,1.6340577294847013e-05
3.35,learning_rate,1.6173921738550766e-05
3.36,learning_rate,1.600726618225452e-05
3.37,learning_rate,1.5840610625958272e-05
3.37,learning_rate,1.5673955069662025e-05
3.38,learning_rate,1.5507299513365775e-05
3.39,learning_rate,1.5340643957069528e-05
3.39,learning_rate,1.5173988400773281e-05
3.4,learning_rate,1.5007332844477034e-05
3.41,learning_rate,1.4840677288180787e-05
3.41,learning_rate,1.467402173188454e-05
3.42,learning_rate,1.4507366175588293e-05
3.43,learning_rate,1.4340710619292046e-05
3.43,learning_rate,1.4174055062995801e-05
3.44,learning_rate,1.4007399506699554e-05
3.45,learning_rate,1.3840743950403307e-05
3.45,learning_rate,1.367408839410706e-05
3.46,learning_rate,1.3507432837810813e-05
3.47,learning_rate,1.3340777281514566e-05
3.47,learning_rate,1.3174121725218319e-05
3.48,learning_rate,1.3007466168922072e-05
3.49,learning_rate,1.2840810612625825e-05
3.49,learning_rate,1.2674155056329578e-05
3.5,learning_rate,1.2507499500033331e-05
3.51,learning_rate,1.2340843943737084e-05
3.51,learning_rate,1.2174188387440837e-05
3.52,learning_rate,1.2007532831144592e-05
3.53,learning_rate,1.1840877274848345e-05
3.53,learning_rate,1.1674221718552098e-05
3.54,learning_rate,1.1507566162255851e-05
3.55,learning_rate,1.1340910605959604e-05
3.55,learning_rate,1.1174255049663357e-05
3.56,learning_rate,1.100759949336711e-05
3.57,learning_rate,1.0840943937070861e-05
3.57,learning_rate,1.0674288380774614e-05
3.58,learning_rate,1.0507632824478367e-05
3.59,learning_rate,1.034097726818212e-05
3.59,learning_rate,1.0174321711885875e-05
3.6,learning_rate,1.0007666155589628e-05
3.61,learning_rate,9.841010599293381e-06
3.61,learning_rate,9.674355042997134e-06
3.62,learning_rate,9.507699486700887e-06
3.63,learning_rate,9.34104393040464e-06
3.63,learning_rate,9.174388374108393e-06
3.64,learning_rate,9.007732817812146e-06
3.65,learning_rate,8.8410772615159e-06
3.65,learning_rate,8.674421705219652e-06
3.66,learning_rate,8.507766148923405e-06
3.67,learning_rate,8.341110592627158e-06
3.67,learning_rate,8.174455036330911e-06
3.68,learning_rate,8.007799480034666e-06
3.69,learning_rate,7.841143923738419e-06
3.69,learning_rate,7.67448836744217e-06
3.7,learning_rate,7.5078328111459235e-06
3.71,learning_rate,7.3411772548496765e-06
3.71,learning_rate,7.1745216985534295e-06
3.72,learning_rate,7.0078661422571826e-06
3.73,learning_rate,6.841210585960936e-06
3.73,learning_rate,6.6745550296646895e-06
3.74,learning_rate,6.5078994733684425e-06
3.75,learning_rate,6.3412439170721955e-06
3.75,learning_rate,6.1745883607759485e-06
3.76,learning_rate,6.0079328044797015e-06
3.77,learning_rate,5.8412772481834546e-06
