epoch,series,value,evalSet,evalRows
1.0,eval_bleu,3.2739,valid-full,49948
1.0,eval_bleu_dv-en,3.9483,valid-full,49948
1.0,eval_bleu_en-dv,2.5807,valid-full,49948
1.0,eval_chrf,23.5988,valid-full,49948
1.0,eval_chrf_dv-en,21.9802,valid-full,49948
1.0,eval_chrf_en-dv,24.7156,valid-full,49948
1.0,eval_loss,1.9933170080184937,valid-full,49948
1.0,eval_runtime,2731.3664,valid-full,49948
1.0,eval_samples_per_second,18.287,valid-full,49948
1.0,eval_steps_per_second,0.572,valid-full,49948
2.0,eval_bleu,5.5889,valid-full,49949
2.0,eval_bleu_dv-en,6.2369,valid-full,49949
2.0,eval_bleu_en-dv,4.7617,valid-full,49949
2.0,eval_chrf,30.5842,valid-full,49949
2.0,eval_chrf_dv-en,27.7192,valid-full,49949
2.0,eval_chrf_en-dv,32.6854,valid-full,49949
2.0,eval_loss,1.6507021188735962,valid-full,49949
2.0,eval_runtime,2302.7298,valid-full,49949
2.0,eval_samples_per_second,21.691,valid-full,49949
2.0,eval_steps_per_second,0.678,valid-full,49949
3.0,eval_bleu,6.9665,valid-full,49948
3.0,eval_bleu_dv-en,7.8236,valid-full,49948
3.0,eval_bleu_en-dv,5.8947,valid-full,49948
3.0,eval_chrf,33.289,valid-full,49948
3.0,eval_chrf_dv-en,29.9388,valid-full,49948
3.0,eval_chrf_en-dv,35.7766,valid-full,49948
3.0,eval_loss,1.520668387413025,valid-full,49948
3.0,eval_runtime,2103.6742,valid-full,49948
3.0,eval_samples_per_second,23.743,valid-full,49948
3.0,eval_steps_per_second,0.742,valid-full,49948
3.033131124591694,eval_bleu,7.1646,valid-small,2000
3.033131124591694,eval_bleu_dv-en,8.3242,valid-small,2000
3.033131124591694,eval_bleu_en-dv,5.5249,valid-small,2000
3.033131124591694,eval_chrf,33.4131,valid-small,2000
3.033131124591694,eval_chrf_dv-en,30.0058,valid-small,2000
3.033131124591694,eval_chrf_en-dv,36.0615,valid-small,2000
3.033131124591694,eval_loss,1.7816272974014282,valid-small,2000
3.033131124591694,eval_runtime,74.9183,valid-small,2000
3.033131124591694,eval_samples_per_second,26.696,valid-small,2000
3.033131124591694,eval_steps_per_second,0.841,valid-small,2000
3.0664622358509432,eval_bleu,7.2211,valid-small,2000
3.0664622358509432,eval_bleu_dv-en,8.3858,valid-small,2000
3.0664622358509432,eval_bleu_en-dv,5.5982,valid-small,2000
3.0664622358509432,eval_chrf,33.4646,valid-small,2000
3.0664622358509432,eval_chrf_dv-en,30.2325,valid-small,2000
3.0664622358509432,eval_chrf_en-dv,35.9596,valid-small,2000
3.0664622358509432,eval_loss,1.7774217128753662,valid-small,2000
3.0664622358509432,eval_runtime,76.0064,valid-small,2000
3.0664622358509432,eval_samples_per_second,26.314,valid-small,2000
3.0664622358509432,eval_steps_per_second,0.829,valid-small,2000
3.0997933471101926,eval_bleu,6.8825,valid-small,2000
3.0997933471101926,eval_bleu_dv-en,7.8801,valid-small,2000
3.0997933471101926,eval_bleu_en-dv,5.4888,valid-small,2000
3.0997933471101926,eval_chrf,33.1973,valid-small,2000
3.0997933471101926,eval_chrf_dv-en,29.7281,valid-small,2000
3.0997933471101926,eval_chrf_en-dv,35.9025,valid-small,2000
3.0997933471101926,eval_loss,1.7792547941207886,valid-small,2000
3.0997933471101926,eval_runtime,75.263,valid-small,2000
3.0997933471101926,eval_samples_per_second,26.573,valid-small,2000
3.0997933471101926,eval_steps_per_second,0.837,valid-small,2000
3.133124458369442,eval_bleu,7.049,valid-small,2000
3.133124458369442,eval_bleu_dv-en,8.0289,valid-small,2000
3.133124458369442,eval_bleu_en-dv,5.6866,valid-small,2000
3.133124458369442,eval_chrf,33.5613,valid-small,2000
3.133124458369442,eval_chrf_dv-en,30.0848,valid-small,2000
3.133124458369442,eval_chrf_en-dv,36.2734,valid-small,2000
3.133124458369442,eval_loss,1.775381088256836,valid-small,2000
3.133124458369442,eval_runtime,73.9756,valid-small,2000
3.133124458369442,eval_samples_per_second,27.036,valid-small,2000
3.133124458369442,eval_steps_per_second,0.852,valid-small,2000
3.1664555696286913,eval_bleu,7.1939,valid-small,2000
3.1664555696286913,eval_bleu_dv-en,8.3375,valid-small,2000
3.1664555696286913,eval_bleu_en-dv,5.5949,valid-small,2000
3.1664555696286913,eval_chrf,33.5636,valid-small,2000
3.1664555696286913,eval_chrf_dv-en,30.3103,valid-small,2000
3.1664555696286913,eval_chrf_en-dv,36.081,valid-small,2000
3.1664555696286913,eval_loss,1.772687554359436,valid-small,2000
3.1664555696286913,eval_runtime,77.7643,valid-small,2000
3.1664555696286913,eval_samples_per_second,25.719,valid-small,2000
3.1664555696286913,eval_steps_per_second,0.81,valid-small,2000
3.1997866808879407,eval_bleu,7.1269,valid-small,2000
3.1997866808879407,eval_bleu_dv-en,8.1671,valid-small,2000
3.1997866808879407,eval_bleu_en-dv,5.6915,valid-small,2000
3.1997866808879407,eval_chrf,33.5816,valid-small,2000
3.1997866808879407,eval_chrf_dv-en,30.4054,valid-small,2000
3.1997866808879407,eval_chrf_en-dv,36.0497,valid-small,2000
3.1997866808879407,eval_loss,1.7703996896743774,valid-small,2000
3.1997866808879407,eval_runtime,71.6822,valid-small,2000
3.1997866808879407,eval_samples_per_second,27.901,valid-small,2000
3.1997866808879407,eval_steps_per_second,0.879,valid-small,2000
3.23311779214719,eval_bleu,7.1207,valid-small,2000
3.23311779214719,eval_bleu_dv-en,8.02,valid-small,2000
3.23311779214719,eval_bleu_en-dv,5.8344,valid-small,2000
3.23311779214719,eval_chrf,33.6727,valid-small,2000
3.23311779214719,eval_chrf_dv-en,30.2001,valid-small,2000
3.23311779214719,eval_chrf_en-dv,36.3762,valid-small,2000
3.23311779214719,eval_loss,1.7683885097503662,valid-small,2000
3.23311779214719,eval_runtime,73.2112,valid-small,2000
3.23311779214719,eval_samples_per_second,27.318,valid-small,2000
3.23311779214719,eval_steps_per_second,0.861,valid-small,2000
3.2664489034064395,eval_bleu,7.0302,valid-small,2000
3.2664489034064395,eval_bleu_dv-en,8.0536,valid-small,2000
3.2664489034064395,eval_bleu_en-dv,5.5791,valid-small,2000
3.2664489034064395,eval_chrf,33.7334,valid-small,2000
3.2664489034064395,eval_chrf_dv-en,30.3353,valid-small,2000
3.2664489034064395,eval_chrf_en-dv,36.3759,valid-small,2000
3.2664489034064395,eval_loss,1.7659798860549927,valid-small,2000
3.2664489034064395,eval_runtime,75.7995,valid-small,2000
3.2664489034064395,eval_samples_per_second,26.385,valid-small,2000
3.2664489034064395,eval_steps_per_second,0.831,valid-small,2000
3.299780014665689,eval_bleu,7.0127,valid-small,2000
3.299780014665689,eval_bleu_dv-en,8.0809,valid-small,2000
3.299780014665689,eval_bleu_en-dv,5.5437,valid-small,2000
3.299780014665689,eval_chrf,33.7482,valid-small,2000
3.299780014665689,eval_chrf_dv-en,30.3779,valid-small,2000
3.299780014665689,eval_chrf_en-dv,36.3668,valid-small,2000
3.299780014665689,eval_loss,1.7631348371505737,valid-small,2000
3.299780014665689,eval_runtime,75.3656,valid-small,2000
3.299780014665689,eval_samples_per_second,26.537,valid-small,2000
3.299780014665689,eval_steps_per_second,0.836,valid-small,2000
3.333111125924938,eval_bleu,7.16,valid-small,2000
3.333111125924938,eval_bleu_dv-en,8.2199,valid-small,2000
3.333111125924938,eval_bleu_en-dv,5.6875,valid-small,2000
3.333111125924938,eval_chrf,33.8704,valid-small,2000
3.333111125924938,eval_chrf_dv-en,30.5105,valid-small,2000
3.333111125924938,eval_chrf_en-dv,36.4814,valid-small,2000
3.333111125924938,eval_loss,1.7639750242233276,valid-small,2000
3.333111125924938,eval_runtime,71.7631,valid-small,2000
3.333111125924938,eval_samples_per_second,27.869,valid-small,2000
3.333111125924938,eval_steps_per_second,0.878,valid-small,2000
3.3664422371841876,eval_bleu,7.2173,valid-small,2000
3.3664422371841876,eval_bleu_dv-en,8.2865,valid-small,2000
3.3664422371841876,eval_bleu_en-dv,5.7167,valid-small,2000
3.3664422371841876,eval_chrf,33.7514,valid-small,2000
3.3664422371841876,eval_chrf_dv-en,30.3416,valid-small,2000
3.3664422371841876,eval_chrf_en-dv,36.4084,valid-small,2000
3.3664422371841876,eval_loss,1.761074423789978,valid-small,2000
3.3664422371841876,eval_runtime,73.9715,valid-small,2000
3.3664422371841876,eval_samples_per_second,27.037,valid-small,2000
3.3664422371841876,eval_steps_per_second,0.852,valid-small,2000
3.399773348443437,eval_bleu,7.249,valid-small,2000
3.399773348443437,eval_bleu_dv-en,8.2184,valid-small,2000
3.399773348443437,eval_bleu_en-dv,5.897,valid-small,2000
3.399773348443437,eval_chrf,33.829,valid-small,2000
3.399773348443437,eval_chrf_dv-en,30.4425,valid-small,2000
3.399773348443437,eval_chrf_en-dv,36.4718,valid-small,2000
3.399773348443437,eval_loss,1.7592761516571045,valid-small,2000
3.399773348443437,eval_runtime,77.8241,valid-small,2000
3.399773348443437,eval_samples_per_second,25.699,valid-small,2000
3.399773348443437,eval_steps_per_second,0.81,valid-small,2000
3.4331044597026863,eval_bleu,7.1742,valid-small,2000
3.4331044597026863,eval_bleu_dv-en,8.1933,valid-small,2000
3.4331044597026863,eval_bleu_en-dv,5.7704,valid-small,2000
3.4331044597026863,eval_chrf,33.837,valid-small,2000
3.4331044597026863,eval_chrf_dv-en,30.483,valid-small,2000
3.4331044597026863,eval_chrf_en-dv,36.4559,valid-small,2000
3.4331044597026863,eval_loss,1.7551325559616089,valid-small,2000
3.4331044597026863,eval_runtime,75.2131,valid-small,2000
3.4331044597026863,eval_samples_per_second,26.591,valid-small,2000
3.4331044597026863,eval_steps_per_second,0.838,valid-small,2000
3.466435570961936,eval_bleu,7.1812,valid-small,2000
3.466435570961936,eval_bleu_dv-en,8.1552,valid-small,2000
3.466435570961936,eval_bleu_en-dv,5.8206,valid-small,2000
3.466435570961936,eval_chrf,33.8871,valid-small,2000
3.466435570961936,eval_chrf_dv-en,30.3496,valid-small,2000
3.466435570961936,eval_chrf_en-dv,36.6583,valid-small,2000
3.466435570961936,eval_loss,1.7540467977523804,valid-small,2000
3.466435570961936,eval_runtime,76.3378,valid-small,2000
3.466435570961936,eval_samples_per_second,26.199,valid-small,2000
3.466435570961936,eval_steps_per_second,0.825,valid-small,2000
3.4997666822211855,eval_bleu,7.3002,valid-small,2000
3.4997666822211855,eval_bleu_dv-en,8.3792,valid-small,2000
3.4997666822211855,eval_bleu_en-dv,5.8104,valid-small,2000
3.4997666822211855,eval_chrf,34.0297,valid-small,2000
3.4997666822211855,eval_chrf_dv-en,30.6443,valid-small,2000
3.4997666822211855,eval_chrf_en-dv,36.6584,valid-small,2000
3.4997666822211855,eval_loss,1.7553606033325195,valid-small,2000
3.4997666822211855,eval_runtime,72.5731,valid-small,2000
3.4997666822211855,eval_samples_per_second,27.558,valid-small,2000
3.4997666822211855,eval_steps_per_second,0.868,valid-small,2000
3.533097793480435,eval_bleu,7.1974,valid-small,2000
3.533097793480435,eval_bleu_dv-en,8.2518,valid-small,2000
3.533097793480435,eval_bleu_en-dv,5.7376,valid-small,2000
3.533097793480435,eval_chrf,33.7883,valid-small,2000
3.533097793480435,eval_chrf_dv-en,30.3785,valid-small,2000
3.533097793480435,eval_chrf_en-dv,36.4422,valid-small,2000
3.533097793480435,eval_loss,1.751973032951355,valid-small,2000
3.533097793480435,eval_runtime,77.3253,valid-small,2000
3.533097793480435,eval_samples_per_second,25.865,valid-small,2000
3.533097793480435,eval_steps_per_second,0.815,valid-small,2000
3.566428904739684,eval_bleu,7.1679,valid-small,2000
3.566428904739684,eval_bleu_dv-en,8.1652,valid-small,2000
3.566428904739684,eval_bleu_en-dv,5.7917,valid-small,2000
3.566428904739684,eval_chrf,33.9216,valid-small,2000
3.566428904739684,eval_chrf_dv-en,30.6191,valid-small,2000
3.566428904739684,eval_chrf_en-dv,36.4899,valid-small,2000
3.566428904739684,eval_loss,1.7489802837371826,valid-small,2000
3.566428904739684,eval_runtime,73.1434,valid-small,2000
3.566428904739684,eval_samples_per_second,27.344,valid-small,2000
3.566428904739684,eval_steps_per_second,0.861,valid-small,2000
3.5997600159989336,eval_bleu,7.4097,valid-small,2000
3.5997600159989336,eval_bleu_dv-en,8.5133,valid-small,2000
3.5997600159989336,eval_bleu_en-dv,5.8444,valid-small,2000
3.5997600159989336,eval_chrf,34.0691,valid-small,2000
3.5997600159989336,eval_chrf_dv-en,30.5745,valid-small,2000
3.5997600159989336,eval_chrf_en-dv,36.7878,valid-small,2000
3.5997600159989336,eval_loss,1.7495077848434448,valid-small,2000
3.5997600159989336,eval_runtime,73.8083,valid-small,2000
3.5997600159989336,eval_samples_per_second,27.097,valid-small,2000
